filename	ATTRIBUTE_Species	ATTRIBUTE_XXX_iNat_id	Group_ID	Solvent
20220504_groupB_DBGI_01_08_B.mzML	ND	ND	ND	Blank
20220504_groupB_DBGI_01_08_01.mzML	Saintpaulia ionantha	https://www.inaturalist.org/observations/111312445	Gp_B	MeOH
20220504_groupB_DBGI_01_08_02.mzML	Saintpaulia grotei	https://www.inaturalist.org/observations/111315673	Gp_B	MeOH
20220504_groupB_DBGI_01_08_03.mzML	Streptocarpus sp. 2007- 547- 626	https://www.inaturalist.org/observations/111315856	Gp_B	MeOH
20220504_groupB_DBGI_01_08_04.mzML	Kohleria hirsuta	https://www.inaturalist.org/observations/111316105	Gp_B	MeOH
20220504_groupB_DBGI_01_08_05.mzML	Streptocarpus sp. 433	https://www.inaturalist.org/observations/111316329	Gp_B	MeOH
20220504_groupB_DBGI_01_08_06.mzML	Streptocarpus caulescens	https://www.inaturalist.org/observations/111316572	Gp_B	MeOH
20220504_groupB_DBGI_01_08_07.mzML	Columnea hirta	https://www.inaturalist.org/observations/111316921	Gp_B	MeOH
20220504_groupB_DBGI_01_08_08.mzML	Columnea microcalyx	https://www.inaturalist.org/observations/111317283	Gp_B	MeOH
20220504_groupB_DBGI_01_08_09.mzML	Episcia punctate	https://www.inaturalist.org/observations/111317409	Gp_B	MeOH
20220504_groupB_DBGI_01_08_10.mzML	Aeschynanthus longicaulis	https://www.inaturalist.org/observations/111317386	Gp_B	MeOH
20220504_groupB_DBGI_01_08_11.mzML	Aeschynanthus fulgens	https://www.inaturalist.org/observations/111316851	Gp_B	MeOH
20220504_groupB_DBGI_01_08_12.mzML	Aeschynanthus radicans	https://www.inaturalist.org/observations/111316700	Gp_B	MeOH
20220504_groupB_DBGI_01_08_13.mzML	Sinningia cardinalis	https://www.inaturalist.org/observations/111316417	Gp_B	MeOH
20220504_groupB_DBGI_01_08_14.mzML	Sinningia leucotricha	https://www.inaturalist.org/observations/111316014	Gp_B	MeOH
20220504_groupB_DBGI_01_08_15.mzML	Kohleria digitaliflora	https://www.inaturalist.org/observations/111315289	Gp_B	MeOH
